"","X","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"211",1,"USGS",15292400,"1958-02-01",1100,"A"
"212",1,"USGS",15292700,"1964-06-01",27000,"A"
"213",1,"USGS",15292780,"1981-05-01",10000,"A"
"214",1,"USGS",15292800,"2005-04-19",86,"A"
"215",1,"USGS",15293200,"2011-10-01",502,"A"
"216",1,"USGS",15293700,"2013-05-22",379,"A"
"217",1,"USGS",15294005,"1978-06-01",450,"A"
"218",1,"USGS",15294010,"1978-05-11",92,"A"
"219",1,"USGS",15294080,"2017-05-11",102,"A"
"220",1,"USGS",15294100,"1978-10-01",500,"A"
"221",1,"USGS",15010000,"1930-08-01",2050,"A"
"222",1,"USGS",15038000,"1913-02-01",55,"A"
"223",1,"USGS",15294300,"1959-10-01",4200,"A"
"224",1,"USGS",15294345,"1980-10-01",25000,"A"
"225",1,"USGS",15294350,"1974-10-01",35000,"A"
"226",1,"USGS",15294410,"1979-07-26",47,"A"
"227",1,"USGS",15294450,"1975-10-01",500,"A"
"228",1,"USGS",15294500,"1959-06-01",3900,"A"
"229",1,"USGS",15294585,"1991-07-16",874,"A"
"230",1,"USGS",15294640,"2005-06-01",2400,"A e"
"231",1,"USGS",15294700,"1995-07-14",525,"A"
"232",1,"USGS",15294900,"1983-07-20",1450,"A"
"233",1,"USGS",15039900,"1986-10-01",90,"A"
"234",1,"USGS",15295500,"1960-10-01",0.9,"A"
"235",1,"USGS",15295600,"1962-06-20",432,"A"
"236",1,"USGS",15295700,"1964-01-08",83,"A"
"237",1,"USGS",15296000,"1951-04-11",134,"A"
"238",1,"USGS",15296300,"1962-05-23",88,"A"
"239",1,"USGS",15296480,"1980-08-22",4.6,"A"
"240",1,"USGS",15296500,"1974-07-25",3.8,"A"
"241",1,"USGS",15296520,"1974-07-25",22,"A"
"242",1,"USGS",15296550,"1974-07-27",28,"A"
"243",1,"USGS",15296600,"1975-08-21",284,"A"
"244",1,"USGS",15040000,"1929-10-01",150,"A"
"245",1,"USGS",15296950,"1975-08-22",35,"A"
"246",1,"USGS",15297000,"1959-12-10",270,"A"
"247",1,"USGS",15297100,"1982-08-01",35,"A"
"248",1,"USGS",15297110,"1983-03-01",13,"A"
"249",1,"USGS",15297200,"1963-05-22",20,"A"
"250",1,"USGS",15297450,"1968-10-01",6.2,"A"
"251",1,"USGS",15297470,"1972-06-25",44,"A"
"252",1,"USGS",15297475,"2019-06-01",15.5,"P"
"253",1,"USGS",15297482,"1980-10-01",55,"A"
"254",1,"USGS",15297485,"1980-04-01",16,"A"
"255",1,"USGS",15041200,"1987-07-23",37400,"A"
"256",1,"USGS",15297580,"2004-05-19",974,"A"
"257",1,"USGS",15297585,"2004-05-20",1360,"A"
"258",1,"USGS",15297602,"1983-08-11",0.25,"A"
"259",1,"USGS",15297603,"1983-08-10",5.3,"A"
"260",1,"USGS",15297610,"1981-10-01",160,"A"
"261",1,"USGS",15297617,"1992-09-30",0.59,"A"
"262",1,"USGS",15297625,"1993-07-01",65,"A e"
"263",1,"USGS",15297640,"1967-11-01",3,"A"
"264",1,"USGS",15297650,"1968-04-01",0.8,"A"
"265",1,"USGS",15297655,"1968-04-01",0.6,"A"
"266",1,"USGS",15044000,"1951-07-01",580,"A"
"267",1,"USGS",15297660,"1967-11-01",0.45,"A"
"268",1,"USGS",15297680,"1967-11-01",3,"A"
"269",1,"USGS",15297690,"1968-04-01",1.1,"A"
"270",1,"USGS",15297767,"1970-11-21",1.8,"A"
"271",1,"USGS",15297771,"1970-11-23",0.72,"A"
"272",1,"USGS",15297773,"1970-11-22",0.7,"A"
"273",1,"USGS",15297900,"1973-10-01",24,"A"
"274",1,"USGS",15298000,"1951-08-01",1300,"A"
"275",1,"USGS",15298040,"2009-10-01",1400,"A e"
"276",1,"USGS",15299900,"1981-02-23",255,"A"
"277",1,"USGS",15046000,"1916-05-01",33,"A"
"278",1,"USGS",15300000,"1951-07-01",18000,"A"
"279",1,"USGS",15300100,"2005-07-23",3.52,"A"
"280",1,"USGS",15300200,"2005-05-01",65,"A e"
"281",1,"USGS",15300250,"2004-08-25",106,"A"
"282",1,"USGS",15300300,"1996-05-24",1550,"A"
"283",1,"USGS",15300500,"1967-08-01",24000,"A"
"284",1,"USGS",15300520,"2008-06-01",900,"A e"
"285",1,"USGS",15301500,"1963-06-23",4620,"A"
"286",1,"USGS",15302000,"1953-03-11",2230,"A"
"287",1,"USGS",15302200,"2004-08-25",46,"A"
"288",1,"USGS",15048000,"1916-08-01",80,"A"
"289",1,"USGS",15302250,"2004-08-24",68,"A"
"290",1,"USGS",15302300,"2009-06-01",10500,"A e"
"291",1,"USGS",15302320,"2009-06-01",800,"A e"
"292",1,"USGS",15302500,"1977-10-01",54000,"A"
"293",1,"USGS",15302800,"1959-07-16",46,"A"
"294",1,"USGS",15302840,"1979-10-01",130,"A"
"295",1,"USGS",15303000,"1957-09-24",8210,"A"
"296",1,"USGS",15303010,"1984-10-01",14,"A"
"297",1,"USGS",15303011,"1990-05-01",20,"A e"
"298",1,"USGS",15303100,"1973-08-01",19,"A"
"299",1,"USGS",15049900,"1984-06-01",400,"A"
"300",1,"USGS",15303150,"1973-08-01",420,"A"
"301",1,"USGS",15303600,"1963-07-01",42000,"A"
"302",1,"USGS",15303700,"1987-05-01",150,"A"
"303",1,"USGS",15303900,"2010-06-01",17000,"A e"
"304",1,"USGS",15304000,"1951-06-15",75300,"A"
"305",1,"USGS",15304010,"2007-07-01",380,"A e"
"306",1,"USGS",15304200,"1979-10-01",1600,"A"
"307",1,"USGS",15304293,"1986-04-01",0,"A"
"308",1,"USGS",15304298,"1985-05-01",2,"A"
"309",1,"USGS",15304400,"2004-05-21",43,"A"
"310",1,"USGS",15050000,"1916-08-01",213,"A"
"311",1,"USGS",15310000,"1910-07-07",339,"A e"
"312",1,"USGS",15310002,"2015-05-20",730,"A e"
"313",1,"USGS",15320100,"1996-05-06",0.12,"A e"
"314",1,"USGS",15330000,"2019-05-19",3590,"A"
"315",1,"USGS",15331000,"2019-05-20",2760,"A"
"316",1,"USGS",15348000,"1975-10-01",1500,"A"
"317",1,"USGS",15356000,"1950-06-01",120000,"A"
"318",1,"USGS",15388030,"1991-06-19",1000,"A"
"319",1,"USGS",15388060,"1994-06-22",5000,"A e"
"320",1,"USGS",15388070,"2002-06-15",2300,"A e"
"321",1,"USGS",15051008,"1982-06-18",109,"A"
"322",1,"USGS",15389000,"1964-08-17",23300,"A"
