"","site_no","wt_year","Annual_Discharge","t_mean","pcp"
"157","15238990",1994,132.284657534247,0.5642205599385,-0.205716663599014
"158","15238990",1995,171.298219178082,-0.495523361023516,0.809140623609225
"159","15238990",1996,103.060928961749,-0.0897324757340057,-1.66494849473238
"160","15238990",1997,131.825479452055,0.192267293576151,-0.80075971186161
"161","15238990",1998,90.9894520547945,0.0407471630411842,0.802640091379484
"162","15238990",1999,99.8328767123288,-0.791796527492503,-0.650484719872475
"163","15238990",2000,97.606693989071,-0.226423241353283,-0.282931267221769
"164","15238990",2001,181.307945205479,1.44014472747222,1.65636200805505
"165","15238990",2002,129.067945205479,-0.424984025613715,-0.551236702998479
"166","15238990",2003,164.140684931507,1.9813024077254,1.45483896235625
"167","15238990",2004,172.483469945355,0.731211396399885,-0.33367899954319
"168","15238990",2005,165.97698630137,1.52133081589515,0.553679407636325
"169","15238990",2006,137.226575342466,-0.340158494965484,-0.12347163160642
"170","15238990",2007,125.166849315068,-0.901184854563326,-0.629181682070096
"171","15238990",2008,71.8461475409836,-0.761640861319999,0.802605550487836
"172","15238990",2009,120.952602739726,-0.790137887156258,-1.30562064945698
"173","15238990",2010,144.29301369863,0.421540282511462,0.147504131992658
"174","15238990",2011,115.715753424658,-0.457414530372868,-0.310089040795962
"175","15238990",2012,135.856010928962,-1.426447786546,1.10010464092096
"176","15238990",2013,158.537452054795,0.0432794564403594,-0.729469586412112
"177","15239050",1984,46.7860655737705,0.883303707910495,0.737101287394762
"178","15239050",1985,39.9605479452055,-0.378563374146405,-0.214976548403501
"179","15239050",1986,42.0972602739726,-0.52611806726911,-0.637399041901032
"180","15239050",1987,62.2997260273973,1.02938678874117,1.36368242477377
"181","15239050",1988,50.6390710382514,0.378021883602357,0.768066133807103
"182","15239050",1989,54.9320547945205,-0.536078536127591,-0.542743637412786
"183","15239050",1990,52.5684931506849,-0.361864765350603,-0.216919719427824
"184","15239050",1991,46.4493150684931,-0.753410051131828,-0.753345265239477
"185","15239050",1992,47.6535519125683,-1.11945101853667,-0.577633380144834
"186","15239050",1993,61.7558904109589,0.978286825254973,0.111429786433776
"187","15239050",1994,47.966301369863,0.58267083529176,-0.22155513788263
"188","15239050",1995,52.8279452054795,-0.538779852156424,0.720237901558479
"189","15239050",1996,34.3953551912568,-0.127221462492728,-1.36525971119603
"190","15239050",1997,54.6739726027397,0.177145826454378,-0.75134587213397
"191","15239050",1998,56.1769863013699,0.0502001520349747,0.547073653091987
"192","15239050",1999,53.0556164383562,-0.791237768893027,-0.42733773017923
"193","15239050",2000,45.5822404371585,-0.24017896986463,-0.273936757693688
"194","15239050",2001,62.4915068493151,1.5131077792599,1.34838953688741
"195","15239050",2002,49.653698630137,-0.419254588449581,-0.456389036526283
"196","15239050",2003,76.3106849315069,2.08051764481804,1.30771238679687
"197","15239050",2004,69.1352459016394,0.743037747974611,-0.174062089870374
"198","15239050",2005,57.2693698630137,1.58386798961502,0.445732812831799
"199","15239050",2006,43.5790410958904,-0.315610878035012,-0.108323483914137
"200","15239050",2007,50.3301369863014,-0.905882996682906,-0.503258999933799
"201","15239050",2008,53.8532513661202,-0.751436265671833,0.776863103856643
"202","15239050",2009,51.5835616438356,-0.824099016551756,-1.01996698901057
"203","15239050",2010,63.8711780821918,0.479430876806792,0.0867944665253164
"204","15239050",2011,42.4967945205479,-0.451244925945583,-0.394530389954646
"205","15239050",2012,57.2474043715847,-1.43660325605629,0.858143375068903
"206","15239050",2013,49.5976712328767,-0.00194226440249223,-0.432243078202009
"207","15239070",1984,515.368852459016,0.872089470759965,0.472839088572397
"208","15239070",1985,475.194520547945,-0.396967892511748,-0.0901700269844796
"209","15239070",1986,510.668493150685,-0.523575069669945,-0.448712471789784
"210","15239070",1987,723.290410958904,1.05070217786512,0.874676735533609
"211","15239070",1988,668.122950819672,0.40401107602908,0.539721944762601
"212","15239070",1989,609.575342465753,-0.52914955681966,-0.295772276735968
"213","15239070",1990,585.802739726027,-0.322672302190525,-0.0882411859101717
"214","15239070",1991,106.430136986301,-0.736831848486327,-0.535018234120475
"215","15239070",1992,111.25956284153,-1.0078855569552,-0.3681565038032
"216","15239070",1993,108.8,0.906714591220952,0.0439652788970206
"217","15239070",1994,107.578082191781,0.613151754275895,-0.171744596130318
"218","15239070",1995,115.884931506849,-0.517315948669178,0.454761707617177
"219","15239070",1996,83.5655737704918,-0.163959631983501,-0.913756110933092
"220","15239070",1997,87.0849315068493,0.161923528051314,-0.572079729206032
"221","15239070",1998,118.104109589041,0.0253097641825053,0.367053189708127
"222","15239070",1999,102.934246575342,-0.858548856937948,-0.262491525378492
"223","15239070",2000,95.6803278688525,-0.298965240184528,-0.18594409144587
"224","15239070",2001,127.2,1.50907422635549,0.879771497183376
"225","15239070",2002,99.7616438356164,-0.420143733088238,-0.324642393655247
"226","15239070",2003,164.418356164384,2.08261872613026,0.901178925070498
"227","15239070",2004,107.460382513661,0.729185405210591,-0.0585993080503409
"228","15239070",2005,101.923287671233,1.60844151709074,0.31084917369816
"229","15239070",2006,106.908493150685,-0.296356786950491,-0.0870932153529589
"230","15239070",2007,104.987123287671,-0.912401462260944,-0.437332946724362
"231","15239070",2008,119.675136612022,-0.701252235386831,0.541755983067884
"232","15239070",2009,98.8013698630137,-0.847491646472675,-0.658869064019786
"233","15239070",2010,101.794246575342,0.497721287445165,-0.0249326489037935
"234","15239070",2011,97.0367123287671,-0.472205891871515,-0.240357827312416
"235","15239070",2012,133.436885245902,-1.42312161591059,0.569822588397397
"236","15239070",2013,121.915342465753,-0.0320982482672361,-0.192481956051455
"237","15258000",1984,2579.13114754098,0.574347794397423,0.0960683488649214
"238","15258000",1985,2689.35616438356,-0.552082488592714,-0.0284525216815785
"239","15258000",1986,2901.59726027397,-0.252775193471462,-0.0371254209377285
"240","15258000",1987,3343.68767123288,1.2145382566688,0.44802720981857
"241","15258000",1988,3356.85519125683,0.728547563496977,0.28248244847378
"242","15258000",1989,3195.54246575342,-0.925159126178672,-0.0204501456529316
"243","15258000",1990,3316.90410958904,-0.383814781562736,0.161730822305092
"244","15258000",1991,2666.64657534247,-0.731510683552673,-0.286519004523547
"245","15258000",1992,2695.93169398907,-0.455502917027722,-0.141523212065092
"246","15258000",1993,3176.42739726027,0.651539343440284,0.238883345206786
"247","15258000",1994,3068.11506849315,0.969404658023268,-0.155833876251967
"248","15258000",1995,3272.83561643836,-0.418238435840855,0.185445044319042
"249","15258000",1996,2268.12295081967,-0.532574216183275,-0.657322275633406
"250","15258000",1997,2412.68219178082,0.0669036212998129,-0.328235166638883
"251","15258000",1998,2984.7698630137,0.165131142083555,-0.0411000002123829
"252","15258000",1999,3089.45205479452,-1.05215769972031,-0.136504941801023
"253","15258000",2000,2687.5,-0.187447124129782,-0.118324311320773
"254","15258000",2001,3825.56164383562,1.88864374070739,0.321659144143471
"255","15258000",2002,2914.76712328767,-0.589285425500324,-0.339988582948637
"256","15258000",2003,3722.43835616438,2.16411358152206,0.532704182098516
"257","15258000",2004,3337.97540983607,0.585828995052725,-0.286288977781725
"258","15258000",2005,2948.41095890411,1.52036651506399,0.0549662499429866
"259","15258000",2006,3057.03835616438,-0.438067396140347,-0.000730063636890543
"260","15258000",2007,2663.12328767123,-0.99538198079293,-0.28660995251913
"261","15258000",2008,2883.06284153005,-0.467557999895265,0.323514800648102
"262","15258000",2009,2620.6301369863,-0.975843508696805,-0.439431237548383
"263","15258000",2010,2953.75342465753,0.681468119565397,0.0312792734605158
"264","15258000",2011,2787.2904109589,-0.58434743648395,0.0198216911457065
"265","15258000",2012,3587.81147540984,-1.25102463330453,0.614989210049518
"266","15258000",2013,3243.25205479452,-0.418062284247329,-0.0071320793229257
"267","15266300",1984,5051.12021857924,0.583481662482437,0.00949414054759679
"268","15266300",1985,5088.87671232877,-0.836876597990178,0.0623414005359841
"269","15266300",1986,6066.60273972603,-0.578947302688741,-0.117294627127962
"270","15266300",1987,6124.02739726027,1.31484480004551,0.0734634993494385
"271","15266300",1988,6487.9781420765,0.721665186693685,-0.0672521804252433
"272","15266300",1989,6601.09589041096,-0.739686704665008,0.218243734714472
"273","15266300",1990,7231.72602739726,-0.284888920177602,0.219209215096716
"274","15266300",1991,5464.71232876712,-0.863860624024851,-0.111086073838588
"275","15266300",1992,5612.04918032787,-0.506446865190648,-0.0976153620311784
"276","15266300",1993,6328.49315068493,0.65795721102299,0.0999258158625
"277","15266300",1994,5811.12328767123,0.90193729898375,-0.213013190972722
"278","15266300",1995,6872.82191780822,-0.426419170687182,0.346957438739224
"279","15266300",1996,5262.45901639344,-0.522617982814295,-0.353978876841979
"280","15266300",1997,5124.95890410959,-0.0445283401033114,-0.238229712667978
"281","15266300",1998,5972.52054794521,0.261493924270487,-0.0681569733449983
"282","15266300",1999,5652.32876712329,-0.95735556581575,0.0131094913205339
"283","15266300",2000,5284.91803278689,-0.352939250061495,-0.0649440352597999
"284","15266300",2001,7010.93150684932,1.90200129450402,-0.00265676920405689
"285","15266300",2002,5898.60273972603,-0.64020649789729,-0.104726508456386
"286","15266300",2003,8093.17808219178,2.34400156811915,0.185116174123767
"287","15266300",2004,7024.45355191257,0.405364844213343,0.0644024645806187
