sim,obs
4901.7544,6000.0
4880.152,6000.0
4853.9927,6000.0
4824.214,6000.0
4794.2285,6000.0
4767.816,6000.0
4745.0933,6000.0
4724.407,6000.0
4710.391,6000.0
4694.3457,6000.0
4684.386,6000.0
4650.126,6000.0
4628.77,6000.0
4611.5034,6000.0
4607.6694,6000.0
4583.4277,6000.0
4560.112,6000.0
4545.1626,6000.0
4528.513,6000.0
4508.4087,6000.0
4489.5815,6000.0
4476.1304,6000.0
4465.3955,6000.0
4455.0615,6000.0
4440.1567,6000.0
4427.772,6000.0
4413.8936,6000.0
4413.678,6000.0
4525.7627,6000.0
4679.675,6000.0
4917.5938,6000.0
5381.6284,6000.0
6152.356,6000.0
6671.8257,6000.0
6799.1084,6000.0
6781.4316,6000.0
6788.703,6000.0
7002.0444,6000.0
8353.103,6000.0
9037.259,6100.0
8847.895,6100.0
8332.403,6200.0
6856.738,6200.0
6659.0347,6300.0
6923.8306,6300.0
6750.8076,6500.0
7395.6514,6700.0
8191.527,7000.0
8907.839,7200.0
10602.6,7400.0
12658.485,7500.0
13582.095,7600.0
13872.975,7700.0
13540.8125,7800.0
12399.65,7800.0
10727.468,7900.0
9221.114,8000.0
9616.6045,8100.0
11899.162,8200.0
14647.324,8300.0
16238.042,8400.0
16345.568,8500.0
15833.14,8600.0
15367.566,8800.0
15211.134,8900.0
14577.323,9000.0
14662.554,9100.0
15214.956,9200.0
15834.719,9300.0
16295.576,9600.0
16662.076,9700.0
17097.49,9800.0
17841.621,10000.0
19107.238,10200.0
20535.988,10500.0
21108.334,11000.0
21587.549,12000.0
22411.229,13000.0
23952.203,17000.0
26481.148,30000.0
30180.17,44500.0
34359.438,46400.0
39616.63,48000.0
45352.293,48000.0
51476.805,45600.0
56640.293,45600.0
60177.016,44000.0
60664.51,36800.0
58504.9,36800.0
55742.688,36800.0
53094.797,36000.0
52161.7,36000.0
52798.77,36400.0
55396.82,35900.0
60591.14,35700.0
66437.37,37000.0
71569.15,39400.0
74559.51,40300.0
75868.53,40600.0
74870.13,39400.0
71320.21,44900.0
68646.34,43500.0
64399.97,40000.0
60176.938,39500.0
58873.516,38300.0
57277.49,37400.0
54012.164,36600.0
50510.504,36800.0
49404.375,37000.0
49819.047,38100.0
47291.23,39400.0
44429.523,40800.0
43740.16,42600.0
44393.645,43900.0
45561.168,46800.0
46208.63,49000.0
45193.88,50500.0
43593.055,53300.0
43242.184,52600.0
42628.3,50400.0
42695.977,48800.0
43794.523,48000.0
44115.18,48100.0
45744.88,50300.0
49625.04,51500.0
53633.62,55700.0
57988.375,62600.0
66132.555,67400.0
68170.24,68900.0
68612.28,69800.0
68578.74,71300.0
71487.305,73800.0
77220.77,77400.0
81422.375,79400.0
83013.48,75500.0
72692.06,72300.0
63592.18,70300.0
63288.71,68200.0
66886.234,66700.0
69269.375,65700.0
65403.67,65500.0
60766.47,64900.0
59244.582,65600.0
61603.406,68100.0
64775.72,69100.0
65478.293,69900.0
67464.43,70200.0
67342.48,71100.0
64330.996,72800.0
60911.613,74300.0
60745.63,75200.0
59946.906,75600.0
64022.61,75200.0
70250.46,75500.0
70118.445,76800.0
72241.39,76400.0
74457.64,74100.0
72922.83,72800.0
68891.33,73600.0
62640.805,73700.0
63656.812,75800.0
65198.027,79100.0
63860.438,78900.0
63546.453,74900.0
61422.426,70800.0
55492.34,68500.0
48151.613,66800.0
45569.066,65800.0
48146.195,65200.0
50599.605,65200.0
49855.418,64700.0
45336.457,63200.0
42466.95,63100.0
41600.97,61400.0
40383.06,58100.0
37760.29,55900.0
35880.56,55500.0
39007.934,56000.0
40740.125,55900.0
36462.473,56200.0
34419.797,56300.0
34803.46,55600.0
34734.086,55600.0
34977.85,57400.0
36112.902,60300.0
37509.176,62500.0
37279.39,64300.0
36318.39,65700.0
35993.64,66300.0
36904.016,65500.0
37894.668,64500.0
39593.76,63600.0
41145.99,60100.0
40301.18,55500.0
39004.215,54100.0
36809.383,53900.0
33589.234,52700.0
32143.668,53300.0
31890.533,55100.0
33043.82,51600.0
31554.553,47600.0
24078.059,45700.0
18815.33,44200.0
16491.809,43100.0
18665.533,42400.0
26749.586,41000.0
22491.328,38700.0
18625.117,36300.0
17781.736,35200.0
18242.107,35800.0
19101.736,38500.0
19704.068,42600.0
20243.533,44400.0
21162.977,44100.0
22367.318,44400.0
23545.84,45200.0
25962.426,44400.0
30570.3,43700.0
32241.764,42800.0
32767.047,40500.0
30541.086,38600.0
28419.545,38700.0
33224.92,39500.0
30534.283,39800.0
26017.2,38800.0
23987.127,37300.0
22252.926,36700.0
21492.443,37000.0
21469.752,39000.0
21874.623,41400.0
22219.88,42400.0
22810.541,41200.0
22771.639,39300.0
23008.586,37500.0
23778.094,35600.0
24128.283,33700.0
23965.674,32100.0
23153.701,30800.0
22504.781,29500.0
21965.807,28300.0
21333.072,27500.0
20823.658,27000.0
20360.822,26200.0
19947.115,25300.0
19359.379,24600.0
18778.361,23600.0
18336.092,23000.0
17961.344,22200.0
17638.33,21000.0
17199.477,21000.0
16734.832,20000.0
16294.993,19500.0
15911.364,18500.0
15622.658,18000.0
15300.727,17000.0
15016.059,16000.0
14800.646,16000.0
14662.1045,15000.0
14435.759,15000.0
14166.187,14000.0
13885.47,14000.0
13642.082,14000.0
13466.033,14000.0
13240.7295,13000.0
12891.659,13000.0
12574.39,12000.0
12321.194,11000.0
12113.678,11000.0
11950.369,10000.0
11795.105,10000.0
11655.356,9600.0
11520.979,9400.0
11388.897,9400.0
11266.851,9400.0
11164.767,9500.0
11065.677,9600.0
10977.941,9600.0
10901.546,9600.0
10821.299,9600.0
10736.439,9400.0
10644.845,9400.0
10550.825,9200.0
10453.701,9200.0
10346.809,9200.0
10235.309,9200.0
10130.964,9200.0
10026.291,9200.0
9914.844,9100.0
9820.233,9100.0
9743.998,9100.0
9654.497,9100.0
9539.841,9100.0
9416.3125,9100.0
9277.953,9100.0
9143.367,9100.0
9015.463,9100.0
8894.143,9100.0
8789.076,9100.0
8684.627,9100.0
8576.283,9100.0
8482.608,9100.0
8397.797,9100.0
8383.93,9100.0
8591.142,9100.0
8924.982,9100.0
9206.266,9100.0
8753.682,9100.0
8284.417,9100.0
8063.2183,9100.0
7980.8994,9100.0
7961.308,9100.0
8137.682,9100.0
8797.775,9100.0
10313.886,9100.0
11328.377,9000.0
9837.106,8900.0
8357.556,8900.0
7942.3794,8800.0
8020.201,8800.0
8101.2266,8800.0
7991.8423,8700.0
7925.07,8600.0
7900.89,8500.0
7882.867,8300.0
7864.2295,8200.0
7842.7817,8100.0
7813.524,8000.0
7770.82,8000.0
7722.2085,7900.0
7671.361,7900.0
7618.523,7800.0
7565.576,7800.0
7499.299,7800.0
7414.306,7800.0
7342.5474,7800.0
7267.323,7700.0
7173.5312,7700.0
7049.354,7600.0
6917.8813,7600.0
6821.2363,7600.0
6760.0605,7600.0
6721.8745,7600.0
6691.1504,7600.0
6657.1665,7500.0
6618.299,7500.0
6578.387,7500.0
6539.71,7500.0
6502.0415,7500.0
6458.2603,7500.0
6411.811,7400.0
6366.362,7400.0
6322.034,7400.0
6284.632,7300.0
6248.9033,7300.0
6217.9253,7200.0
6184.3687,7200.0
6143.315,7200.0
6098.1133,7200.0
6051.7925,7200.0
6009.4595,7200.0
5965.0063,7200.0
5921.068,7200.0
5877.599,7200.0
5829.7383,7200.0
5841.5073,7200.0
5989.061,7200.0
5852.397,7200.0
5715.4683,7200.0
6014.762,7200.0
7191.188,7200.0
10440.146,7200.0
12756.645,7200.0
10802.883,7200.0
9361.983,7200.0
9784.884,7200.0
11496.103,7200.0
10492.327,7200.0
7962.142,7200.0
6763.6055,7200.0
6193.158,7200.0
5828.465,7200.0
5677.7144,7200.0
5598.8057,7200.0
5587.8784,7200.0
5614.2095,7200.0
5581.625,7200.0
5561.1445,7200.0
5555.581,7200.0
5551.9604,7200.0
5546.55,7200.0
5536.3706,7200.0
5526.0493,7200.0
5521.3984,7200.0
5523.005,7200.0
5504.3623,7200.0
5486.3164,7200.0
5474.183,7200.0
5466.3193,7200.0
5452.368,7200.0
5441.893,7200.0
5425.935,7200.0
5410.3438,7200.0
5395.289,7200.0
5381.142,7200.0
5371.8145,7200.0
5359.943,7200.0
5374.391,7200.0
5658.2915,7200.0
6805.7896,7200.0
8398.227,7200.0
9444.825,7200.0
10891.86,7200.0
12783.936,7200.0
18855.037,7200.0
24691.762,7200.0
25077.836,7200.0
24714.363,7200.0
29735.762,7200.0
39390.223,7300.0
46016.523,7300.0
45893.3,7300.0
40769.348,7300.0
36312.6,7400.0
35596.95,7400.0
32678.904,7400.0
32709.254,7400.0
36471.125,7400.0
43190.547,7400.0
44960.63,7400.0
38062.59,7500.0
28409.604,7600.0
22744.586,7800.0
21161.338,8000.0
19103.9,8200.0
18242.562,8300.0
20217.396,8500.0
26323.146,8600.0
30339.326,8800.0
26462.56,9200.0
23862.025,9500.0
25045.074,10000.0
29186.236,10000.0
29724.834,11000.0
27392.361,11000.0
25173.459,11000.0
22261.78,12000.0
21600.496,12500.0
20478.598,13000.0
17659.398,14000.0
18632.719,15000.0
21919.791,16000.0
23886.059,17000.0
23758.195,18000.0
26197.47,19000.0
32479.75,20000.0
31730.693,21000.0
28714.074,22400.0
26756.07,22700.0
27762.25,22900.0
30297.637,24500.0
36864.223,27400.0
35562.473,31000.0
29663.27,37100.0
32910.195,41900.0
41358.06,44800.0
49733.645,47300.0
54625.785,46500.0
51911.79,43000.0
50664.973,44100.0
48923.965,46100.0
42209.93,46800.0
39529.645,45700.0
43525.97,46900.0
46953.46,49200.0
49642.35,48900.0
54323.223,45200.0
56748.48,40900.0
54698.973,38600.0
54636.156,38500.0
59560.527,38300.0
62770.04,37200.0
58965.652,34200.0
51901.938,30900.0
