sim,obs
37721.715,44400.0
37805.72,44100.0
38419.223,44400.0
36960.797,45200.0
39341.36,44400.0
52326.613,43700.0
52916.793,42800.0
48458.223,40500.0
40970.664,38600.0
37582.855,38700.0
55178.117,39500.0
53650.32,39800.0
44514.996,38800.0
42600.76,37300.0
35808.23,36700.0
32552.406,37000.0
33324.42,39000.0
36995.195,41400.0
40864.93,42400.0
46967.973,41200.0
48090.13,39300.0
44635.645,37500.0
44724.74,35600.0
48978.285,33700.0
60520.74,32100.0
55481.51,30800.0
46276.195,29500.0
43678.9,28300.0
43555.285,27500.0
40800.695,27000.0
38488.87,26200.0
36852.68,25300.0
35304.34,24600.0
33870.414,23600.0
32665.291,23000.0
31843.986,22200.0
31069.758,21000.0
29546.002,21000.0
28462.363,20000.0
27629.922,19500.0
26864.96,18500.0
26229.225,18000.0
25835.361,17000.0
25304.629,16000.0
24683.295,16000.0
24338.902,15000.0
24050.092,15000.0
23757.69,14000.0
23477.223,14000.0
23012.492,14000.0
22680.355,14000.0
22379.314,13000.0
21887.533,13000.0
21410.57,12000.0
20956.207,11000.0
20494.229,11000.0
20064.98,10000.0
19649.76,10000.0
19224.549,9600.0
18807.629,9400.0
18449.152,9400.0
18104.852,9400.0
17786.004,9500.0
17511.486,9600.0
17234.832,9600.0
16940.465,9600.0
16682.28,9600.0
16464.88,9400.0
16258.754,9400.0
16042.437,9200.0
15856.013,9200.0
15682.546,9200.0
15542.54,9200.0
15667.303,9200.0
16537.248,9200.0
17116.086,9100.0
16184.176,9100.0
15437.311,9100.0
15302.407,9100.0
15066.961,9100.0
14758.937,9100.0
14495.872,9100.0
14390.74,9100.0
14328.832,9100.0
14332.383,9100.0
14210.343,9100.0
14018.476,9100.0
13841.327,9100.0
13643.45,9100.0
13426.638,9100.0
13304.568,9100.0
13591.948,9100.0
15416.375,9100.0
18503.682,9100.0
19579.85,9100.0
17959.326,9100.0
16717.68,9100.0
16885.227,9100.0
17889.9,9100.0
18380.45,9100.0
18558.914,9100.0
22273.588,9100.0
26423.717,9000.0
27289.684,8900.0
25585.207,8900.0
25160.684,8800.0
27119.37,8800.0
28768.143,8800.0
27020.293,8700.0
25036.426,8600.0
24231.793,8500.0
23518.271,8300.0
22938.887,8200.0
22171.69,8100.0
21427.453,8000.0
20808.627,8000.0
20248.188,7900.0
19717.4,7900.0
19252.924,7800.0
18806.0,7800.0
18339.684,7800.0
17879.385,7800.0
17421.96,7800.0
16993.387,7700.0
16602.477,7700.0
16220.0625,7600.0
15884.901,7600.0
15584.57,7600.0
15293.037,7600.0
15042.002,7600.0
14798.858,7600.0
14564.572,7500.0
14336.978,7500.0
14102.537,7500.0
13867.983,7500.0
13632.76,7500.0
13401.103,7500.0
13172.665,7400.0
12952.834,7400.0
12742.292,7400.0
12531.552,7300.0
12323.608,7300.0
12141.986,7200.0
11976.063,7200.0
11832.815,7200.0
11696.175,7200.0
11549.165,7200.0
11414.461,7200.0
11293.989,7200.0
11173.604,7200.0
11055.36,7200.0
11033.142,7200.0
12293.191,7200.0
14272.498,7200.0
14571.158,7200.0
12909.434,7200.0
12326.639,7200.0
16137.077,7200.0
25182.53,7200.0
29907.445,7200.0
26639.355,7200.0
19471.7,7200.0
16571.662,7200.0
19882.992,7200.0
19770.361,7200.0
17182.08,7200.0
17390.357,7200.0
18701.752,7200.0
15648.979,7200.0
13473.602,7200.0
12734.243,7200.0
12601.31,7200.0
12580.882,7200.0
12150.342,7200.0
11700.528,7200.0
11541.882,7200.0
11478.335,7200.0
11420.148,7200.0
11510.016,7200.0
11782.948,7200.0
12536.845,7200.0
13401.672,7200.0
13515.577,7200.0
12488.446,7200.0
11431.685,7200.0
11162.813,7200.0
11392.934,7200.0
11373.971,7200.0
10918.49,7200.0
10426.22,7200.0
10184.8,7200.0
10073.816,7200.0
10006.29,7200.0
10366.537,7200.0
12343.779,7200.0
19645.904,7200.0
32407.283,7200.0
39772.08,7200.0
39232.305,7200.0
36611.414,7200.0
34342.473,7200.0
38052.023,7200.0
40715.605,7200.0
36273.184,7200.0
30947.916,7200.0
29142.953,7200.0
30875.785,7300.0
33411.027,7300.0
33117.586,7300.0
29286.688,7300.0
25062.758,7400.0
28488.895,7400.0
31228.725,7400.0
25824.719,7400.0
21819.492,7400.0
24740.527,7400.0
30089.697,7400.0
30554.086,7500.0
27508.977,7600.0
26196.562,7800.0
26400.885,8000.0
24491.66,8200.0
23450.668,8300.0
26008.79,8500.0
29311.451,8600.0
32629.432,8800.0
33818.36,9200.0
30755.637,9500.0
30318.986,10000.0
33299.93,10000.0
34483.29,11000.0
33906.098,11000.0
31433.055,11000.0
28139.959,12000.0
27573.588,12500.0
28947.666,13000.0
26941.22,14000.0
25792.234,15000.0
26950.93,16000.0
28096.773,17000.0
27796.887,18000.0
